Rate1	Rate2	 Latitudine
36.1128	35.6373	46.2298
35.4291	35.1767	46.2298
35.1533	34.8175	46.2298
35.8315	35.7161	46.2299
35.725	35.5033	46.2298
35.5314	35.3216	46.2299
35.6866	35.5187	46.2299
35.0828	34.8551	46.2299
35.2373	34.9785	46.2299
35.906	35.5748	46.2299
34.5837	34.5016	46.2299
35.1062	35.0569	46.2298
35.6445	35.4395	46.2299
35.5127	35.3076	46.2299
35.1874	34.8451	46.2298
35.0716	34.904	46.2299
34.9167	34.8987	46.2299
35.4088	35.2293	46.2298
34.9708	34.8406	46.2298
35.1466	34.855	46.2298
34.8354	34.6303	46.2298
34.9091	34.8175	46.2298
35.1358	34.8918	46.2299
35.1635	35.0137	46.2298
35.4849	35.3937	46.2299
35.7378	35.2441	46.2299
35.3764	35.0616	46.2298
35.256	35.106	46.2298
36.0597	35.5922	46.2298
35.3278	35.1233	46.2299
35.7446	35.2917	46.2298
35.892	35.5462	46.2298
35.5582	35.1329	46.2299
36.0107	35.431	46.2298
35.5783	35.3033	46.2299
35.3839	35.0719	46.2299
35.6408	35.2973	46.2299
34.5848	34.4528	46.2299
35.6356	35.3263	46.2299
35.3794	35.1383	46.2298
34.7572	34.634	46.2298
35.4946	35.3425	46.2298
34.8361	34.8107	46.2298
35.5165	35.2647	46.2298
35.6911	35.3989	46.2299
35.4097	35.2447	46.2298
35.857	35.4986	46.2298
35.7211	35.3918	46.2298
35.6829	35.3538	46.2299
35.6527	35.4345	46.2298
34.8057	34.651	46.2298
34.8799	34.6591	46.2298
35.4129	34.9946	46.2299
35.6499	35.3853	46.2299
34.59	34.5801	46.2298
34.8622	34.566	46.2299
35.7482	35.4044	46.2298
35.8219	35.6142	46.2298
35.1948	34.907	46.2298
35.5354	35.105	46.2298
36.109	35.5991	46.2298
35.3012	34.8993	46.2298
35.2951	35.0092	46.2299
34.4451	34.3188	46.2298
35.5632	34.7459	46.2298
34.9144	34.6299	46.2299
35.6841	35.2595	46.2299
35.1052	34.8409	46.2298
35.3521	35.1912	46.2299
35.2761	34.973	46.2298
35.0343	34.7158	46.2298
35.5829	35.2554	46.2298
35.7918	35.5632	46.2298
35.0123	34.5598	46.2298
35.4034	35.2503	46.2298
35.5325	35.2894	46.2298
35.1844	34.8154	46.2299
35.4762	35.1362	46.2299
35.6171	35.4706	46.2299
35.6079	35.211	46.2298
35.8283	35.7413	46.2298
35.6698	35.2324	46.2298
35.4678	35.1631	46.2298
35.1568	34.9687	46.2298
35.3527	35.0257	46.2298
34.8708	34.575	46.2298
35.9859	35.3661	46.2299
35.1952	34.9202	46.2298
35.293	35.0473	46.2298
35.1849	34.8824	46.2299
35.8839	35.4847	46.2299
36.2384	35.744	46.2299
35.3167	35.2536	46.2299
35.5252	35.4044	46.2299
34.8813	34.4594	46.2299
35.4997	35.5057	46.2298
35.3421	35.1118	46.2298
35.2029	34.8801	46.2299
34.925	34.5793	46.2298
34.8066	34.8097	46.2297
34.8494	34.7193	46.2298
35.4275	35.0633	46.2298
34.6694	34.4494	46.2299
35.4486	34.7175	46.2299
35.4805	35.1096	46.2298
35.322	35.1476	46.2298
35.527	35.1097	46.2298
36.2987	35.9057	46.2298
35.1542	34.8587	46.2299
35.7948	35.5924	46.2299
35.4757	35.2805	46.2298
35.0903	34.8434	46.2299
35.1232	34.9543	46.2299
35.2604	35.1416	46.2299
35.5878	35.4423	46.2298
34.6845	34.5062	46.2299
35.4829	35.3153	46.2299
35.355	35.1379	46.2299
35.6105	35.36	46.2298
35.2095	34.9717	46.2299
35.0232	34.7431	46.2298
35.2522	35.0218	46.2298
34.5415	34.4902	46.2298
36.0079	35.6744	46.2298
35.6322	35.4197	46.2298
35.0799	34.8695	46.2298
36.0721	35.7453	46.2298
35.3008	35.0215	46.2298
36.2587	35.7454	46.2298
35.2899	35.1776	46.2298
35.4643	35.0734	46.2298
35.4203	35.3078	46.2298
35.6113	35.1542	46.2298
35.6754	35.4592	46.2298
35.0281	34.7866	46.2298
35.4856	35.3217	46.2298
34.8711	34.6453	46.2298
35.6938	35.3739	46.2298
35.9272	35.6172	46.2298
35.2525	35.1496	46.2299
35.7158	35.3196	46.2299
35.7995	35.2999	46.2299
35.1087	34.8068	46.2299
35.3426	35.0873	46.2298
34.8374	34.526	46.2298
35.6056	35.3093	46.2298
35.5058	35.1563	46.2298
35.2481	35.0405	46.2298
35.0523	34.8642	46.2298
35.5469	35.3586	46.2299
35.2091	35.0923	46.2299
35.2049	35.0064	46.2298
35.7458	35.4638	46.2299
36.4909	35.6767	46.2299
35.5901	35.3704	46.2299
35.1781	34.9045	46.2298
36.0094	35.5903	46.2299
35.6132	35.4175	46.2298
36.17	35.8	46.2298
35.7343	35.5868	46.2299
35.7734	34.9732	46.2282
35.8254	35.6135	46.2298
35.7773	35.4161	46.2299
35.362	35.0715	46.2299
35.1685	34.9497	46.2298
35.3212	35.0442	46.2298
34.9937	34.842	46.2298
35.7778	35.4293	46.2299
35.5932	35.2982	46.2299
35.8787	35.5805	46.2299
35.3289	35.0331	46.2299
35.4164	35.2795	46.2299
35.2911	35.1207	46.2298
35.4884	35.1776	46.2299
35.5228	35.287	46.2298
35.6866	35.6178	46.2298
35.6533	35.3787	46.2299
34.9327	34.7876	46.2299
35.4215	35.0974	46.2299
35.5702	35.2352	46.2299
35.5439	35.1649	46.2299
35.2312	35.155	46.2299
35.513	35.2413	46.2299
35.7339	35.3486	46.2298
35.4132	35.1108	46.2298
35.4423	35.2571	46.2299
35.5553	35.4147	46.2298
35.8093	35.5633	46.2298
35.4183	35.189	46.2299
36.2632	35.8569	46.2298
35.6146	35.3064	46.2298
35.6739	35.5324	46.2298
35.2637	34.9217	46.2298
35.2345	35.0564	46.2298
35.1629	35.0186	46.2299
35.2674	35.0147	46.2299
35.7904	35.4728	46.2299
34.8942	34.7733	46.2298
35.3778	35.0829	46.2298
35.9141	35.7369	46.2298
35.6234	35.4222	46.2298
35.5534	35.3416	46.2299
35.9177	35.5591	46.2298
35.2648	35.0851	46.2298
35.1029	34.8686	46.2298
35.7904	35.4751	46.2299
35.2229	35.0247	46.2298
35.6638	35.4622	46.2299
35.9299	35.6866	46.2298
35.3783	35.1514	46.2298
35.1799	34.9299	46.2298
35.8855	35.5861	46.2299
35.8596	35.5618	46.2298
34.8103	34.6535	46.2298
36.1858	35.7634	46.2299
35.673	35.4482	46.2298
35.6028	35.6251	46.2298
35.3763	35.2559	46.2298
35.1754	34.9376	46.2298
34.8731	34.7752	46.2298
35.6909	35.5063	46.2299
35.5243	35.3072	46.2298
35.203	34.9239	46.2298
35.5716	35.292	46.2298
34.8799	34.8068	46.2298
35.5081	35.4043	46.2298
35.1006	34.8285	46.2299
34.7979	34.5352	46.2298
35.4077	34.9412	46.2299
35.7059	35.3958	46.2298
35.7645	35.454	46.2298
35.3081	35.0639	46.2298
35.7166	35.1907	46.2298
35.2931	34.9755	46.2298
35.3807	35.1683	46.2298
35.2354	35.0907	46.2298
35.262	35.0868	46.2298
35.2321	34.9241	46.2298
35.5843	35.2104	46.2298
35.251	35.0177	46.2298
35.6737	35.3085	46.2298
35.4377	34.9975	46.2298
35.5241	35.144	46.2298
36.4555	35.5932	46.2298
35.0492	34.8156	46.2298
35.6453	35.3175	46.2298
36.2477	35.9092	46.2299
35.281	35.1133	46.2298
35.7539	35.4443	46.2299
35.3317	35.1649	46.2299
35.4801	35.2939	46.2299
34.8391	34.618	46.2299
35.3644	35.1759	46.2299
35.6754	35.4537	46.2299
34.9739	34.8285	46.2298
34.9381	34.7348	46.2298
35.2969	34.8007	46.2299
35.8267	35.5328	46.2299
35.976	35.3175	46.2299
35.7997	35.2378	46.2298
35.1445	34.9421	46.2299
35.6451	35.0056	46.2298
34.8681	34.8588	46.2298
34.6832	34.4761	46.2298
35.6793	35.2957	46.2298
35.3705	35.1402	46.2298
35.455	35.2501	46.2299
35.0657	34.9395	46.2298
35.783	35.5236	46.2298
35.2131	35.0284	46.2298
35.1802	34.9023	46.2298
35.797	35.4318	46.2298
35.7057	35.3245	46.2298
35.061	34.9547	46.2298
35.2526	34.9656	46.2298
35.4547	35.3421	46.2299
35.7197	35.4307	46.2299
35.6142	35.3992	46.2299
34.5856	34.4409	46.2298
34.7445	34.5601	46.2299
35.6581	35.3956	46.2299
35.1536	34.9431	46.2298
35.2942	35.0314	46.2298
35.4354	35.3237	46.2298
35.2535	35.2098	46.2299
35.397	35.2512	46.2299
35.5071	35.2912	46.2299
35.4306	35.2295	46.2299
35.4957	35.2168	46.2298
35.4263	35.2638	46.2298
35.2284	35.0044	46.2299
35.079	34.7993	46.2298
35.4298	34.9994	46.2298
35.7045	35.4596	46.2298
35.4408	35.1867	46.2298
35.3904	35.1389	46.2298
35.6541	35.3794	46.2298
35.2889	35.2352	46.2298
35.6774	35.557	46.2299
35.1951	35.0678	46.2299
36.1126	35.9352	46.2299
35.4547	35.246	46.2298
35.7614	35.6524	46.2298
35.8757	35.6975	46.2299
35.3368	35.2932	46.2299
35.8603	35.5772	46.2298
35.2791	34.9965	46.2298
35.2272	35.1245	46.2298
35.6441	35.4177	46.2299
35.1545	34.8478	46.2298
35.3409	35.2153	46.2298
34.7574	34.6234	46.2298
35.7334	35.0253	46.2299
35.6312	35.3603	46.2298
35.4735	35.1226	46.2299
35.589	35.3175	46.2299
35.9408	35.7658	46.2299
34.9451	34.8173	46.2298
36.0754	35.5972	46.2298
35.7102	35.3873	46.2299
36.332	35.989	46.2299
35.3827	35.1085	46.2298
35.355	35.1079	46.2298
35.8842	35.7089	46.2298
34.9592	34.7728	46.2299
35.6705	35.5935	46.2298
35.2917	35.0891	46.2298
35.5266	35.3834	46.2299
35.1518	34.981	46.2298
35.4103	35.2106	46.2298
35.8042	35.5114	46.2299
35.6312	35.2962	46.2299
35.3131	35.1184	46.2299
35.8244	35.4865	46.2298
35.9569	35.9043	46.2299
35.7391	35.5669	46.2299
35.1034	34.8937	46.2298
35.5011	35.223	46.2299
35.5494	35.2524	46.2298
35.2689	35.039	46.2298
35.3162	34.9978	46.2297
35.2228	34.9124	46.2298
35.3653	35.1987	46.2298
35.6746	35.0723	46.2298
35.3988	35.2573	46.2299
35.1238	35.0588	46.2298
35.9778	35.6885	46.2298
35.568	35.2203	46.2298
34.961	34.7065	46.2298
35.4482	35.2779	46.2298
35.3106	35.0156	46.2299
35.3618	35.0651	46.2299
35.5304	35.3371	46.2299
35.2755	34.9042	46.2299
35.3156	35.0866	46.2299
35.3453	34.9604	46.2298
35.0289	34.9249	46.2298
35.5404	35.3407	46.2299
35.9161	35.2326	46.2298
35.2419	35.0369	46.2299
35.1883	34.7879	46.2299
35.979	35.7794	46.2299
35.9009	35.7059	46.2298
35.5127	35.1784	46.2299
35.7804	35.5875	46.2299
35.4755	35.1012	46.2299
36.0258	35.6217	46.2299
35.3784	35.1546	46.2299
35.6825	35.4487	46.2298
35.7187	35.4034	46.2298
34.9711	34.774	46.2298
35.3474	34.9195	46.2298
36.2076	35.9901	46.2298
35.8418	35.4567	46.2298
35.3692	35.1174	46.2299
35.7168	35.3703	46.2299
35.6934	35.4074	46.2298
35.6351	35.1324	46.2299
35.8015	35.5166	46.2298
35.1078	34.875	46.2298
35.5643	35.3193	46.2298
36.4285	35.937	46.2299
36.3581	35.7889	46.2299
35.9058	35.5427	46.2298
35.3695	35.1656	46.2298
35.3751	35.0742	46.2298
35.7736	35.1885	46.2299
35.2796	35.1303	46.2298
35.7866	35.6128	46.2298
34.8876	34.5605	46.2298
35.5574	35.3201	46.2299
36.2466	35.9324	46.2298
35.3605	35.2585	46.2298
35.583	35.1945	46.2299
35.6297	35.2476	46.2299
35.6188	35.4967	46.2299
35.1456	35.0005	46.2298
35.8828	35.6336	46.2298
35.3321	35.2236	46.2298
35.3323	34.9668	46.2298
35.3939	35.1667	46.2298
35.6461	35.47	46.2298
35.428	35.2729	46.2299
35.6772	35.257	46.2299
35.5018	35.2113	46.2299
35.5616	35.4158	46.2298
35.1577	34.8243	46.2298
35.5907	35.4342	46.2299
35.6345	35.4627	46.2298
35.7297	35.4311	46.2298
35.6437	35.4121	46.2299
35.5835	35.2499	46.2298
35.5263	35.0936	46.2298
35.5244	35.3651	46.2299
35.7417	35.6505	46.2299
35.4435	34.9066	46.2299
35.539	35.2016	46.2299
36.0539	35.703	46.2299
36.0947	35.7965	46.2299
35.7755	35.5278	46.2299
35.5358	35.3046	46.2298
35.7651	35.5522	46.2299
35.8089	35.5747	46.2299
35.436	34.99	46.2298
35.6879	35.4933	46.2298
35.9131	35.4406	46.2298
35.5394	35.3314	46.2298
35.7192	35.4356	46.2298
35.28	34.9149	46.2298
35.8287	35.7258	46.2298
35.7416	35.3581	46.2298
35.7219	35.3785	46.2298
35.9217	35.6631	46.2298
35.6787	35.3129	46.2299
36.1106	35.8838	46.2298
35.6799	35.3275	46.2299
36.0432	35.8877	46.2299
35.7405	35.4909	46.2298
36.6363	36.2163	46.2297
35.6752	35.4485	46.2298
35.3338	35.1249	46.2299
36.2935	35.8549	46.2299
35.7516	35.5203	46.2299
35.8531	35.4728	46.2298
35.5274	35.3665	46.2298
35.6855	35.4114	46.2298
35.6368	35.4601	46.2299
35.7218	35.437	46.2298
35.2642	34.9515	46.2299
35.2495	35.1098	46.2298
35.6146	35.3725	46.2299
35.6179	35.3984	46.2299
35.2257	34.9007	46.2298
35.5206	35.26	46.2298
36.6193	36.0983	46.2298
35.3519	34.9725	46.2298
36.2328	35.9291	46.2299
35.3859	35.1594	46.2299
36.0706	35.5994	46.2299
35.7241	35.3971	46.2299
35.455	35.304	46.2298
35.8904	35.5703	46.2299
35.5959	35.1535	46.2298
35.6647	35.5754	46.2299
35.6601	35.6336	46.2298
35.7186	35.4486	46.2299
36.0016	35.7018	46.2299
36.0258	35.7139	46.2299
35.7998	35.6053	46.2298
35.9927	35.5851	46.2298
35.462	35.1599	46.2299
35.5875	35.4965	46.2299
35.1431	34.7821	46.2299
35.6064	35.4143	46.2299
35.3457	35.2428	46.2298
35.9032	35.5618	46.2298
35.4201	35.0782	46.2298
35.5319	35.3539	46.2298
36.298	35.7892	46.2299
35.6066	35.3054	46.2298
35.8412	35.4057	46.2299
35.8183	35.685	46.2298
35.5747	35.2743	46.2299
35.507	35.4572	46.2298
